timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1.05,9.6,1.75,0.08,0.02,0.01,-1.35,9.69,1.73,0.06,-0.12,-0.0,0.83,9.7,-0.72,0.14,0.12,-0.01
20,-1.14,9.57,1.85,0.09,0.05,0.01,-1.59,9.65,1.59,0.05,-0.12,0.02,0.55,9.73,-0.72,0.14,0.13,0.02
40,-1.16,9.46,1.97,0.12,0.02,0.0,-1.57,9.48,1.65,0.08,-0.13,0.02,0.51,9.54,-0.68,0.16,0.12,0.01
60,-1.18,9.52,1.91,0.11,0.02,-0.01,-1.63,9.65,1.76,0.09,-0.13,0.02,0.51,9.73,-0.74,0.18,0.1,0.01
80,-1.1,9.62,1.95,0.08,0.06,-0.02,-1.63,9.73,1.76,0.09,-0.14,0.02,0.54,9.89,-0.63,0.18,0.1,0.01
100,-1.13,9.61,2.01,0.11,0.02,0.0,-1.69,9.84,1.81,0.08,-0.14,0.03,0.57,9.99,-0.63,0.16,0.1,0.03
120,-1.25,9.47,1.81,0.05,0.02,0.0,-1.63,9.47,1.53,0.05,-0.15,-0.01,0.44,9.49,-0.81,0.14,0.09,0.0
140,-1.19,9.51,1.81,0.11,0.03,-0.01,-1.33,9.56,1.57,0.1,-0.14,0.03,0.76,9.68,-0.8,0.18,0.08,0.03
160,-1.14,9.49,1.74,0.14,0.01,-0.01,-1.44,9.68,1.63,0.1,-0.13,0.02,0.81,9.67,-0.82,0.18,0.1,0.02
180,-1.18,9.44,1.83,0.1,0.05,-0.02,-1.44,9.63,1.67,0.08,-0.09,-0.01,0.73,9.67,-0.76,0.17,0.14,-0.01
200,-1.16,9.36,1.91,0.07,0.07,-0.03,-1.74,9.59,1.62,0.08,-0.08,-0.05,0.37,9.65,-0.8,0.16,0.14,-0.05
220,-1.2,9.39,2.04,0.1,0.07,-0.05,-1.43,9.25,1.62,0.09,-0.07,-0.04,0.62,9.27,-0.61,0.18,0.15,-0.04
240,-1.15,9.48,2.24,0.17,0.16,-0.11,-1.29,9.8,1.74,0.14,0.03,-0.04,0.54,9.5,-0.71,0.25,0.13,0.0
