timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-7.47,2.32,4.81,0.08,-0.06,0.05,-8.81,2.81,-3.16,0.04,-0.11,-0.02,-7.96,4.07,-4.49,0.08,0.21,-0.01
20,-7.66,2.33,5.25,0.07,-0.01,0.02,-8.32,2.4,-3.39,0.04,-0.25,0.04,-8.26,4.05,-4.39,0.08,0.02,0.02
40,-7.58,2.66,5.42,-0.17,-0.04,-0.01,-8.22,2.78,-3.18,0.03,-0.14,-0.13,-7.34,4.35,-4.47,0.07,0.09,-0.12
60,-7.56,2.51,5.34,0.12,-0.21,0.04,-8.89,2.81,-3.03,0.06,-0.25,0.02,-7.76,4.34,-4.39,0.07,0.02,0.05
80,-7.89,2.42,4.88,0.02,0.01,-0.06,-8.29,2.19,-3.68,0.21,-0.07,-0.09,-7.51,3.77,-4.81,0.2,0.09,-0.08
100,-8.15,2.43,5.08,0.09,-0.06,-0.05,-8.04,3.12,-3.57,0.17,-0.0,-0.08,-6.82,4.19,-5.07,0.24,0.21,-0.1
120,-7.93,2.62,4.88,-0.14,0.04,-0.02,-8.49,3.29,-3.34,0.05,0.03,-0.14,-7.1,4.21,-4.84,0.21,0.35,-0.23
140,-7.65,2.8,4.81,-0.07,0.07,0.02,-7.87,2.91,-3.53,0.06,-0.0,-0.06,-8.42,5.11,-4.44,0.21,0.29,-0.13
160,-7.58,2.82,4.99,0.11,0.05,0.05,-8.82,3.49,-2.99,0.07,-0.13,0.04,-7.46,4.88,-4.43,0.08,0.08,0.07
180,-7.75,2.61,5.09,0.1,-0.0,0.07,-8.23,3.24,-3.07,-0.02,-0.13,-0.02,-6.87,4.53,-4.56,0.08,0.18,-0.04
200,-7.79,2.49,4.71,-0.09,0.06,0.04,-7.72,2.53,-3.55,0.0,0.01,-0.08,-6.96,3.76,-4.74,0.14,0.37,-0.11
220,-7.76,2.57,4.66,0.04,0.13,0.05,-8.02,2.49,-3.62,0.08,0.07,-0.0,-8.06,4.47,-4.56,0.17,0.31,-0.05
240,-8.04,2.66,5.43,0.15,0.02,-0.01,-9.54,3.23,-3.03,0.09,-0.09,-0.06,-8.01,4.58,-4.46,0.17,0.14,-0.06
260,-7.63,2.73,4.98,-0.15,0.01,0.02,-8.17,2.82,-3.24,0.03,-0.23,-0.07,-7.96,4.63,-4.19,0.07,0.11,-0.05
280,-7.7,2.67,5.06,0.24,-0.08,0.05,-8.71,2.75,-3.04,0.1,-0.18,0.07,-7.12,4.32,-4.41,0.1,0.01,0.12
300,-7.81,2.5,4.76,-0.04,-0.04,0.01,-8.44,3.04,-3.22,0.07,-0.15,-0.06,-6.77,4.2,-4.71,0.1,0.11,-0.06
320,-7.98,2.66,4.71,-0.04,0.0,0.03,-7.77,2.95,-3.52,0.04,-0.07,-0.06,-6.76,4.15,-4.86,0.13,0.24,-0.07
340,-7.92,2.63,4.76,0.08,0.03,0.02,-8.24,2.56,-3.72,0.09,-0.04,-0.01,-8.53,4.36,-4.51,0.13,0.19,0.04
360,-7.97,2.66,4.97,0.17,0.01,-0.0,-9.21,3.29,-3.14,0.12,-0.17,0.04,-7.72,4.32,-4.56,0.12,-0.05,0.06
380,-8.04,2.64,5.1,0.16,-0.01,-0.01,-9.38,3.27,-3.08,0.1,-0.2,0.02,-6.9,4.38,-4.71,0.14,-0.01,0.04
400,-7.82,2.66,4.86,-0.08,-0.03,0.03,-7.93,3.4,-3.19,-0.03,-0.18,-0.08,-6.76,4.53,-4.65,0.09,0.16,-0.12
420,-7.67,2.66,4.73,-0.04,-0.0,0.08,-8.04,3.29,-3.19,-0.06,-0.17,-0.04,-7.17,4.76,-4.49,0.06,0.18,-0.07
440,-7.71,2.66,4.78,0.05,-0.02,0.1,-7.81,2.47,-3.51,-0.02,-0.17,0.08,-7.97,4.2,-4.3,0.08,0.16,0.06
460,-7.96,2.62,5.04,0.22,-0.05,0.06,-8.61,3.14,-3.29,0.09,-0.2,0.11,-7.45,4.47,-4.66,0.08,-0.03,0.11
480,-8.08,2.59,4.79,0.18,-0.02,0.07,-8.41,3.09,-3.35,0.05,-0.14,0.05,-6.89,4.45,-4.91,0.07,0.06,0.06
500,-7.79,2.62,4.53,0.1,0.05,0.04,-8.04,2.71,-3.55,0.04,-0.11,0.01,-7.73,4.14,-4.6,0.13,0.13,0.0
520,-7.89,2.57,4.81,0.16,0.08,0.02,-8.3,2.75,-3.43,0.08,-0.11,0.05,-6.8,3.8,-4.69,0.2,0.16,0.04
540,-7.92,2.53,4.88,0.21,0.08,-0.0,-8.13,2.92,-3.23,0.14,-0.06,0.03,-7.43,4.31,-4.59,0.25,0.19,0.01
560,-7.88,2.43,4.71,0.16,0.1,0.06,-8.62,3.4,-2.95,0.12,-0.05,0.12,-7.08,4.73,-4.62,0.25,0.36,0.04
580,-7.87,2.7,5.01,0.09,0.06,0.07,-8.91,2.64,-3.29,0.03,-0.11,0.08,-8.74,4.6,-4.16,0.13,0.19,-0.02
600,-8.02,2.78,5.45,0.11,-0.03,0.09,-7.3,2.54,-3.13,0.2,0.19,0.13,-6.69,4.79,-4.37,0.24,0.36,-0.06
620,-7.67,2.79,5.83,0.14,-0.29,0.2,-6.28,3.02,-2.43,0.41,0.9,0.02,-7.04,3.52,-3.72,0.4,0.41,-0.38
640,-7.67,3.41,7.82,0.03,-0.75,0.31,-6.85,1.77,-0.8,0.73,1.78,-0.02,-1.77,4.92,-2.48,0.75,1.14,-0.75
660,-7.22,3.79,7.91,-0.11,-1.13,0.33,-10.67,2.64,0.91,0.95,2.05,-0.08,-0.79,6.72,-2.16,0.94,2.24,-0.62
680,-6.87,3.39,6.73,-0.34,-2.22,0.58,-10.67,6.23,2.35,1.0,2.52,-0.02,-7.44,7.88,0.44,1.33,4.29,-0.68
700,-8.5,3.83,5.09,-0.66,-2.57,0.35,-5.57,4.23,0.86,0.69,4.36,0.5,-9.33,9.65,-0.01,0.46,4.36,1.12
720,-8.15,0.96,2.4,0.16,-3.44,0.67,-7.24,1.3,1.41,0.62,4.36,0.21,-3.92,3.06,-0.14,0.99,4.36,-0.94
740,-7.06,2.64,1.1,-0.48,-0.88,0.47,-4.5,-2.48,2.76,0.01,4.36,0.94,-6.08,-1.47,6.65,1.46,4.36,0.1
760,-10.08,1.06,1.25,-0.03,-0.98,0.28,-9.43,3.47,5.32,0.3,4.36,0.32,-0.25,7.13,1.22,1.27,4.36,-2.32
780,-8.6,2.59,0.93,0.14,-0.55,0.04,-7.27,0.9,8.09,0.68,4.36,-0.02,-7.14,4.78,8.59,2.35,4.36,-1.41
800,-8.72,1.74,0.39,0.12,-0.88,0.35,-9.22,2.27,8.41,0.84,2.85,0.51,-8.37,6.31,8.37,2.19,4.11,-1.03
820,-10.18,2.09,0.62,0.05,-0.59,0.13,-5.65,1.54,5.76,0.84,3.63,1.12,-4.74,4.27,5.6,2.18,4.31,-0.14
840,-10.16,3.53,-0.14,0.02,-0.65,0.45,-6.11,0.18,5.82,1.2,4.18,1.65,-0.59,3.54,4.61,2.66,4.36,0.1
860,-9.54,1.55,0.32,0.0,-0.27,0.61,-6.7,1.79,9.68,1.22,2.27,0.66,-3.75,4.51,8.64,2.23,3.68,-0.51
880,-9.66,1.23,0.23,0.23,0.05,0.18,-7.94,-0.41,10.64,0.97,2.21,-0.09,-4.71,3.39,10.27,1.94,3.2,-0.2
900,-10.05,1.08,-0.23,0.2,-0.24,-0.04,-5.46,0.59,10.22,0.87,0.85,-1.53,-3.61,4.72,8.33,1.27,2.74,-0.63
920,-9.07,1.94,0.48,-0.03,0.12,-0.11,-5.42,0.88,8.24,0.25,1.34,-0.84,-4.89,2.83,9.14,1.22,2.22,-0.22
940,-9.18,2.23,0.63,0.04,0.22,0.11,-3.85,1.44,9.42,0.34,1.11,-0.19,-1.03,3.14,9.44,1.08,1.75,-0.14
960,-9.51,1.97,0.93,0.09,0.05,-0.04,-4.04,1.33,10.21,0.26,0.63,0.03,-0.85,2.82,9.9,0.58,1.16,-0.1
980,-9.3,1.52,0.74,0.13,0.23,0.04,-2.76,1.13,10.01,0.24,0.1,0.16,0.36,2.24,9.47,0.22,0.3,-0.05
1000,-9.7,1.63,1.24,0.05,0.1,-0.02,-2.39,1.2,10.49,0.11,0.05,0.25,0.94,2.3,9.71,0.16,0.17,0.02
1020,-9.66,1.67,0.93,0.07,0.02,-0.0,-3.0,0.97,9.96,0.09,-0.07,0.08,0.56,2.07,9.42,0.19,0.16,0.0
1040,-9.56,1.38,0.5,0.12,0.08,-0.05,-3.21,0.83,9.57,0.04,-0.0,-0.02,0.06,1.94,9.02,0.15,0.26,-0.05
1060,-9.38,1.37,0.49,0.11,0.16,-0.1,-2.84,1.07,9.84,-0.01,0.04,0.02,0.46,2.25,9.21,0.05,0.27,-0.03
1080,-9.4,2.22,1.4,0.07,0.07,-0.06,-2.32,1.47,10.41,0.04,-0.12,0.05,1.1,2.62,9.63,0.06,0.13,-0.03
