timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-8.89,1.16,3.45,0.09,0.01,-0.03,-9.33,1.99,2.12,0.09,-0.15,-0.01,-6.36,6.76,1.31,0.15,0.08,-0.01
20,-8.84,1.17,3.48,0.09,0.03,-0.02,-9.17,2.14,2.11,0.06,-0.14,-0.03,-6.31,6.86,1.34,0.15,0.1,0.01
40,-8.79,1.21,3.47,0.09,0.04,-0.01,-9.32,2.3,2.26,0.07,-0.11,-0.01,-6.29,7.06,1.36,0.16,0.12,-0.01
60,-8.79,1.4,3.59,0.1,-0.0,0.02,-9.25,1.91,2.07,0.08,-0.17,0.05,-6.62,6.75,1.42,0.15,0.07,0.01
80,-8.89,1.22,3.42,0.14,0.01,0.03,-9.23,1.98,2.02,0.1,-0.16,0.06,-6.24,6.75,1.26,0.18,0.08,0.04
100,-8.9,1.02,3.39,0.11,0.04,-0.02,-9.25,2.04,2.08,0.08,-0.12,-0.02,-6.34,6.74,1.28,0.17,0.12,-0.02
120,-8.73,1.26,3.44,0.11,0.08,-0.03,-9.11,1.98,2.0,0.1,-0.08,-0.05,-6.3,6.72,1.33,0.2,0.12,-0.05
140,-8.99,1.41,3.52,0.1,0.05,0.01,-9.25,2.21,2.06,0.07,-0.12,0.08,-6.38,6.86,1.4,0.16,0.13,0.0
160,-8.83,1.4,3.59,0.08,0.08,-0.01,-9.23,2.04,2.21,0.07,-0.1,0.01,-6.28,6.81,1.45,0.18,0.12,-0.02
180,-8.79,1.33,3.58,0.11,0.06,-0.02,-9.33,2.1,2.27,0.08,-0.09,0.01,-6.35,6.94,1.5,0.19,0.13,0.0
200,-8.76,1.35,3.59,0.11,0.03,0.01,-9.33,2.26,2.25,0.08,-0.14,0.01,-6.4,7.11,1.51,0.17,0.11,0.03
220,-8.99,1.26,3.53,0.13,0.04,0.02,-9.23,2.1,2.17,0.1,-0.11,0.04,-6.11,6.79,1.42,0.2,0.11,-0.02
240,-8.94,1.27,3.6,0.1,0.07,0.01,-9.38,2.23,2.3,0.07,-0.09,0.04,-6.43,7.08,1.52,0.17,0.14,-0.02
260,-8.79,1.35,3.68,0.09,0.05,0.03,-9.45,2.19,2.4,0.06,-0.13,0.05,-6.28,7.02,1.64,0.16,0.12,0.01
