timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-0.13,9.95,0.08,0.08,0.04,0.03,0.75,9.87,1.58,0.04,-0.11,0.0,4.14,9.05,-1.41,0.13,0.13,0.01
20,-0.13,9.82,0.19,0.1,0.05,0.04,0.44,9.91,1.55,0.03,-0.09,0.01,3.84,9.1,-1.28,0.13,0.15,0.01
40,-0.13,9.79,0.22,0.08,0.03,0.04,0.14,9.77,1.5,0.04,-0.14,0.01,3.46,9.04,-1.27,0.12,0.11,0.03
60,-0.15,9.8,0.15,0.15,0.02,-0.0,0.35,9.7,1.46,0.1,-0.15,0.05,3.81,9.02,-1.32,0.18,0.08,0.04
80,-0.06,9.84,0.14,0.09,0.04,-0.0,0.42,9.97,1.7,0.06,-0.13,0.01,4.08,9.16,-1.35,0.15,0.11,0.01
100,-0.15,9.75,0.15,0.07,0.05,0.01,0.39,9.71,1.43,0.05,-0.13,-0.01,3.7,8.9,-1.37,0.13,0.12,-0.01
120,-0.17,9.77,0.04,0.12,0.01,-0.01,0.6,9.66,1.46,0.09,-0.15,0.02,3.84,8.8,-1.47,0.17,0.07,0.02
140,-0.09,9.89,0.04,0.08,0.05,-0.03,0.61,9.97,1.56,0.1,-0.12,0.0,4.15,9.13,-1.41,0.18,0.1,-0.02
160,-0.06,9.96,0.04,0.08,0.06,-0.02,0.61,9.92,1.65,0.09,-0.13,0.01,4.14,9.13,-1.37,0.18,0.11,0.0
180,-0.06,9.92,0.02,0.16,0.04,-0.0,0.55,9.94,1.61,0.09,-0.12,0.04,4.03,9.12,-1.43,0.18,0.11,0.03
200,-0.11,9.8,0.13,0.14,0.08,-0.01,0.51,9.78,1.65,0.1,-0.09,0.04,3.96,8.97,-1.34,0.2,0.14,0.03
220,-0.07,9.76,0.25,0.15,0.06,-0.01,0.29,9.8,1.62,0.1,-0.09,0.04,3.79,9.06,-1.25,0.2,0.13,0.03
240,-0.16,9.74,0.38,0.09,0.06,-0.01,0.11,9.84,1.64,0.08,-0.11,0.01,3.59,9.15,-1.25,0.17,0.12,0.0
260,-0.06,9.82,0.14,0.12,0.0,-0.0,0.48,9.77,1.63,0.08,-0.16,0.02,3.88,9.03,-1.35,0.16,0.08,0.02
280,-0.05,9.82,0.11,0.09,0.03,-0.0,0.67,9.83,1.67,0.08,-0.13,-0.0,4.13,9.0,-1.3,0.15,0.11,0.01
300,-0.04,9.88,0.2,0.09,0.06,-0.01,0.46,9.8,1.6,0.08,-0.13,0.01,3.85,9.03,-1.21,0.16,0.12,0.01
320,-0.08,9.86,0.26,0.13,0.02,0.01,0.39,9.86,1.64,0.07,-0.16,0.03,3.88,9.02,-1.28,0.15,0.09,0.04
340,-0.12,9.89,0.22,0.05,0.03,0.01,0.37,9.9,1.66,0.05,-0.14,-0.02,3.87,9.19,-1.26,0.11,0.11,-0.01
