timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-7.67,3.93,4.09,0.1,0.03,0.02,-1.69,3.15,9.66,0.08,-0.12,0.02,1.11,5.56,7.75,0.16,0.12,0.01
20,-7.66,3.95,4.19,0.1,0.03,0.01,-1.81,2.99,9.79,0.08,-0.14,0.0,1.02,5.4,7.99,0.16,0.09,0.01
40,-7.67,3.86,4.23,0.12,0.01,0.01,-1.64,3.13,9.87,0.08,-0.15,0.0,1.18,5.58,7.87,0.15,0.08,0.01
60,-7.68,3.9,4.16,0.09,0.03,-0.01,-1.59,3.16,9.68,0.06,-0.14,0.0,1.16,5.56,7.65,0.14,0.1,0.0
80,-7.65,3.98,4.02,0.1,0.04,0.01,-1.65,3.2,9.73,0.06,-0.11,0.01,1.09,5.62,7.76,0.16,0.13,0.01
100,-7.7,3.86,4.16,0.1,0.04,0.01,-1.64,3.12,9.79,0.07,-0.13,0.02,1.14,5.59,7.85,0.15,0.11,0.02
120,-7.7,3.95,4.13,0.1,0.05,0.02,-1.67,3.19,9.76,0.08,-0.12,0.02,1.17,5.57,7.85,0.17,0.12,0.01
140,-7.64,3.89,4.19,0.1,0.03,0.01,-1.69,3.04,9.8,0.06,-0.12,0.02,1.14,5.53,7.81,0.15,0.12,0.01
160,-7.66,3.91,4.17,0.09,0.03,-0.01,-1.67,3.15,9.77,0.06,-0.14,0.01,1.19,5.53,7.75,0.13,0.1,-0.0
180,-7.74,3.87,4.05,0.1,0.04,-0.0,-1.64,3.18,9.61,0.07,-0.12,0.0,1.13,5.53,7.7,0.15,0.13,0.0
200,-7.67,3.9,4.22,0.11,0.02,0.03,-1.62,3.2,9.88,0.08,-0.15,0.04,1.24,5.61,7.88,0.15,0.09,0.04
220,-7.68,3.9,4.2,0.09,0.02,0.02,-1.74,2.98,9.66,0.07,-0.15,0.02,1.07,5.49,7.83,0.14,0.09,0.03
